"","County","Buchanan2000","Bush2000"
"1","Alachua",262,34062
"2","Baker",73,5610
"3","Bay",248,38637
"4","Bradford",65,5413
"5","Brevard",570,115185
"6","Broward",789,177279
"7","Calhoun",90,2873
"8","Charlotte",182,35419
"9","Citrus",270,29744
"10","Clay",186,41745
"11","Collier",122,60426
"12","Columbia",89,10964
"13","Dade",561,289456
"14","De soto",36,4256
"15","Dixie",29,2698
"16","Duval",650,152082
"17","Escambia",504,73029
"18","Flagler",83,12608
"19","Franklin",33,2448
"20","Gadsden",39,4750
"21","Gilchrist",29,3300
"22","Glades",9,1840
"23","Gulf",71,3546
"24","Hamilton",24,2153
"25","Hardee",30,3764
"26","Hendry",22,4743
"27","Hernando",242,30646
"28","Highlands",99,20196
"29","Hillsborough",836,176967
"30","Holmes",76,4985
"31","Indian river",105,28627
"32","Jackson",102,9138
"33","Jefferson",29,2481
"34","Lafayette",10,1669
"35","Lake",289,49963
"36","Lee",305,106141
"37","Leon",282,39053
"38","Levy",67,6860
"39","Liberty",39,1316
"40","Madison",29,3038
"41","Manatee",272,57948
"42","Marion",563,55135
"43","Martin",108,33864
"44","Monroe",47,16059
"45","Nassau",90,16404
"46","Okaloosa",267,52043
"47","Okeechobee",43,5058
"48","Orange",446,134476
"49","Osceola",145,26216
"50","Four",570,68581
"51","Pinellas",1010,184312
"52","Polk",538,90101
"53","Putnam",147,13439
"54","St. Johns",229,39497
"55","St. Lucie",124,34705
"56","Santa rosa",311,36248
"57","Sarasota",305,83100
"58","Seminole",194,75293
"59","Sumter",114,12126
"60","Suwannee",108,8014
"61","Taylor",27,4051
"62","Union",26,2326
"63","Volusia",396,82214
"64","Wakulla",46,4511
"65","Walton",120,12176
"66","Washington",88,4983
"67","Palm Beach",3407,152846
